nbNodesNumber of Nodes =	3421
voxel size (µm)	5

all volumes, lenghts and surfaces are reported as voxels

Node ID	Location Node(x,y,z)(µm))	Node Type	Node Volume	Node Dmax	Nodes radius
425	405,746,119	cell	7992	12.2708	4.58561
426	864,336,119	cell	3273	11.936	5.49131
427	780,482,118	cell	1764	8.82544	3.19975
428	1000,573,115	cell	3513	16.2756	6.60659
429	598,57,119	cell	4330	15.7856	6.33796
430	301,443,118	cell	1907	10.3803	4.21494
431	664,295,149	cell	530981	65.4688	28.4019
432	152,628,123	cell	1181	8.7343	3.83824
433	1161,489,121	cell	815	8.51506	3.10472
434	1176,525,116	cell	8886	16.0285	6.09391
435	830,586,120	cell	2605	10.7665	3.30288
436	96,590,122	cell	2557	9.77607	3
437	399,494,122	cell	1	12.3146	6.15732
438	360,739,127	cell	26183	18.6464	6.91676
439	1141,805,124	cell	4126	10.3971	5.19855
440	253,889,122	cell	3	10.1404	4.57322
441	1070,62,122	cell	62639	29.816	12.1706
442	261,891,123	cell	2215	12.0033	5.56217
443	151,627,124	cell	1	8.06004	4.03002
444	1228,897,165	border_cell	1.82794e+06	93.9896	23.8765
445	461,5,120	border_cell	2309	18.6572	4.82388
446	577,173,118	cell	3046	12.4811	3.9999
447	938,342,126	cell	3806	11.8456	5.2932
448	294,492,122	cell	13667	22.8832	9.09554
449	44,716,129	cell	9003	14.8334	6.71621
450	817,590,127	cell	2050	12.1677	5.35856
451	576,163,123	cell	260	12.1483	4.99999
452	476,706,127	cell	24283	24.0406	8.97376
453	292,440,131	cell	3967	10.1026	3.86184
454	403,487,130	cell	12039	14.0599	4.69798
455	502,694,133	cell	26794	32.3922	13.0473
456	5,817,124	border_cell	698	8.54194	1.7071
457	308,777,130	cell	19802	18.9963	7.73792
458	251,901,124	cell	6764	18.3327	4.98992
459	1001,834,132	cell	1	8.46839	4.23419
460	1067,146,136	cell	2150	9.62954	4.00776
461	1162,493,130	cell	1028	10.4557	4.17695
462	1167,506,122	cell	703	12.4575	4.74164
463	451,708,132	cell	1790	11.643	3.74463
464	280,33,130	cell	1335	12.3641	3.82049
465	579,169,134	cell	1	14.224	7.11201
466	1037,547,135	cell	2077	10.0891	3.82375
467	1046,714,146	cell	78323	34.495	14.0021
468	1,820,131	border_cell	506	10.5593	4.46722
469	204,972,133	cell	3047	12.6944	5.87202
470	434,275,145	cell	21580	15.3022	6.61454
471	271,496,139	cell	41379	25.4705	9.47049
472	24,221,136	cell	1	8.2874	4.1437
473	1174,525,135	cell	5659	18.2636	6.54429
474	151,675,137	cell	232218	46.583	20.2788
475	1227,78,139	cell	999	8.94036	4.45831
476	225,705,136	cell	2	8.36704	3.84031
477	441,710,141	cell	7450	13.9795	6.05021
478	839,341,138	cell	1654	14.1422	4.3709
479	330,605,138	cell	1033	10.8393	4.2898
480	1080,891,136	cell	7120	16.4708	7.58746
481	188,298,143	cell	1465	8.14744	3.75793
482	252,421,140	cell	1145	8.38062	2.54533
483	86,694,143	cell	15451	24.8947	11.2764
484	252,419,141	cell	1	8.00336	4.00168
485	249,434,141	cell	2825	12.272	5.28301
486	316,584,140	cell	441	10.6317	3.74055
487	1005,857,142	cell	44886	25.6022	8.15767
488	450,13,141	border_cell	22006	26.544	6.13078
489	57,88,140	cell	1271	10.4251	4.73165
490	1051,233,149	cell	8439	10.6302	3.99917
491	1026,322,134	cell	1013	8.52926	-1
492	240,445,143	cell	4227	12.9357	5.66424
493	323,600,140	cell	1173	12.4602	5.17095
494	856,360,142	cell	7262	16.142	7.0521
495	874,368,144	cell	9690	19.5916	8.02308
496	224,702,143	cell	3965	10.7411	3.70168
497	891,859,143	cell	1	8.14155	4.07078
498	837,350,152	cell	13825	17.0238	6.60777
499	934,868,150	cell	4218	8.55786	2.98485
500	1043,37,145	cell	1	8.05208	4.02604
501	571,177,144	cell	1198	12.4846	5.78246
502	886,373,145	cell	6701	20.2481	8.87806
503	199,406,145	cell	1697	10.4524	5.00121
504	218,415,144	cell	403	10.0927	2.89673
505	231,436,147	cell	2630	12.4144	5.23933
506	397,458,150	cell	7215	12.2554	4.33572
507	307,578,145	cell	1	10.1925	5.09625
508	1109,884,145	cell	1	16.3759	8.18795
509	70,30,139	border_cell	236894	56.4969	20.7128
510	263,285,143	cell	173298	38.2047	17.4301
511	210,415,150	cell	2569	11.2362	3.02247
512	1174,534,141	cell	2116	18.3633	6.64418
513	303,591,144	cell	938	13.4027	3.66607
514	322,752,143	cell	8064	18.5682	7.44477
515	1031,873,145	cell	13800	22.448	8.98087
516	256,902,149	cell	1574	9.65195	4.29887
517	556,180,150	cell	2805	10.9931	4.56166
518	902,380,150	cell	47573	24.105	6.89288
519	302,583,146	cell	4472	14.6628	4.97907
520	6,808,158	border_cell	11523	15.4587	4.47176
521	1223,79,145	cell	704	10.8063	3.94053
522	534,187,148	cell	2337	12.4577	5.76898
523	411,470,148	cell	3541	12.0922	4.86478
524	709,521,139	cell	63668	36.0724	13.5194
525	1168,519,146	cell	264	14.7332	5.31815
526	585,556,155	cell	131172	38.0998	10.373
527	314,599,148	cell	7200	14.0617	5.70604
528	219,700,148	cell	1	8.51261	4.2563
529	220,423,148	cell	2332	12.2013	5.89611
530	419,93,150	cell	1	10.1986	5.09928
531	1165,507,149	cell	20	14.9518	6.38697
532	401,721,146	cell	2118	12.5166	4.10691
533	123,68,145	cell	494	8.98837	3.13783
534	22,133,144	border_cell	573952	82.3998	18.3998
535	554,182,151	cell	1	10.0469	5.02343
536	435,81,156	cell	2001	11.6511	3.14934
537	797,338,159	cell	32221	27.4832	9.30688
538	860,403,152	cell	1	10.4185	5.20924
539	542,554,152	cell	1	8.31425	4.15713
540	241,703,152	cell	999	8.52633	4.26317
541	623,817,164	cell	176368	52.8095	20.6575
542	298,542,151	cell	953	8.2484	2.84062
543	92,674,162	cell	66292	28.9444	11.6499
544	331,732,152	cell	16517	22.3054	9.50372
545	1050,803,150	cell	573	10.0165	2.94424
546	213,28,160	cell	5728	13.8978	4.3709
547	257,224,149	cell	267109	46.0836	18.7626
548	1015,343,149	cell	8612	16.8951	6.90718
549	197,404,155	cell	2623	12.0364	5.51569
550	439,67,156	cell	1097	8.44998	3.76358
551	439,90,152	cell	944	12.1849	4.82599
552	851,413,154	cell	677	9.607	2.70221
